ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601251299-40;Versailles;Vila Bastos - Santo André / SP;Adolfo Bastos, 320;62;176;3;3;3;1996;Maravilhoso apartamento na Vila Bastos - Santo André / SP;R$ 1.783,00;R$ 2.851,00;R$ 874.000,00;R$ 4.965,91;https://drive.google.com/drive/folders/1FSLOX4pfm4q29cFGLdXfIgIhes6u1EbK
601181054-114;Centro Médico Peixoto Gomide;Jardim Paulista ;Peixoto Gomide, 515;sala 161 a 166;330;7;7;18;1980;Maravilhosa laje corporativa no Jardim Paulista ;R$ 6.450,00;R$ 65.759,00;R$ 5.940.000,00;R$ 18.000,00;https://drive.google.com/drive/folders/1KYteeHC-DEbEdOaaQAEq4eXZTcU6r29D
601251154-5;Next Sky;Parque Arariba;Carlos Leite dos Santos, 300;68 A;41;1;0;1;2020;Lindo apartamento no Parque Arariba;R$ 684,00;R$ 0,00;R$ 275.000,00;R$ 6.707,32;https://drive.google.com/drive/folders/1vD52Vh9BrfoT8EwakmsTgXz3WqYo9ReK
602011013-29;Casa;Brooklin Paulista;Tomé Portes, 94;x;160;3;0;3;;Maravilhosa casa no Brooklin Paulista ;R$ 0,00;R$ 6.327,00;R$ 1.190.000,00;R$ 7.437,50;https://drive.google.com/drive/folders/1iVd_3RNGWW-zAGvibTGZsyhSM_jvFuk1
601251072-116;Itamaracá;Campo Belo;Nhu-Guaçu, 241;63;98;3;1;2;1979;Maravilhoso apartamento no Campo Belo;R$ 1.842,00;R$ 2.137,00;R$ 879.000,00;R$ 8.969,39;https://drive.google.com/drive/folders/1HaU-qAUL283ijux19YVDNI7Hx5z2M-St
601251165-196;Signature By Ott;Paraíso;Armando Ferrentini, 602;121;175;3;3;3;2024;Maravilhoso apartamento no Paraíso;R$ 2.871,00;R$ 12.986,00;R$ 2.695.000,00;R$ 15.400,00;https://drive.google.com/drive/folders/1dadpHt7lzDMLL6pio5wgM5T_Bzt4-pC1
601181054-140;Mansão Imperial ;Nova Petrópolis - São Bernardo do Campo/SP;Princesa Francisca Carolina, 300;54 B;242;3;3;3;2011;Maravilhoso apartamento em Nova Petrópolis - São Bernardo do Campo / SP;R$ 2.414,00;R$ 6.529,00;R$ 2.740.000,00;R$ 11.322,31;https://drive.google.com/drive/folders/1ajBbDO5EnCF0vRDVu12WAtHTSam4G3DG
601181054-116;Mobi One Pinheiros;Pinheiros;Alves Guimarães, 120;607;31;1;1;0;2021;Lindo apartamento em Pinheiros;R$ 550,00;R$ 2.000,00;R$ 748.000,00;R$ 24.129,03;https://drive.google.com/drive/folders/1klHU9PrWccfPyae4L_3GCGulTMOf9cXs
602011001-114;Sobrado;Vila Clementino ;Luís Mazzarolo, 181;x;241;3;3;2;2006;Maravilhoso sobrado na Vila Clementino ;R$ 0,00;R$ 1.120,00;R$ 1.990.000,00;R$ 8.257,26;https://drive.google.com/drive/folders/1y1p1LvkGg-pBFVH8nY6nB-HMVAQ_2sff
601251165-141;Marquês de Olinda ;Ipiranga ;Marquês de Olinda, 528;43/44;166;4;1;6;1982;Maravilhoso apartamento no Ipiranga ;R$ 2.284,00;R$ 3.110,00;R$ 1.150.000,00;R$ 6.927,71;https://drive.google.com/drive/folders/1SZWqXWZbrZfLNsNdL5pFlcJo5iK4LV_D
601251086-369;Helbor Spsh;Granja Julieta;Carmo do Rio Verde, 109;176 B1;81;2;1;0;2021;Maravilhoso apartamento na Granja Julieta ;R$ 828,00;R$ 2.040,00;R$ 1.099.000,00;R$ 13.567,90;https://drive.google.com/drive/folders/1j5nw47yrlQXuo4F3j30PmaNhrJ3C3QZf
601251315-91;Helbor Window Moema ;Indianópolis;Ibirapuera, 1835;1710;26;1;0;1;2024;Lindo apartamento em Indianópolis ;R$ 495,00;R$ 0,00;R$ 640.000,00;R$ 24.615,38;https://drive.google.com/drive/folders/1s4JZSTd9ZaKUDt95m4Z_n1rE2mqZ6enC
601251084-322;Paulista Point;Cerqueira César;Jaú, 1905;cj 14, 15 e 16;90;0;0;3;;Maravilhoso conjunto comercial na Cerqueira César;R$ 2.393,10;R$ 1.429,72;R$ 960.000,00;R$ 10.666,67;https://drive.google.com/drive/folders/1NJF17GvEktePZ0A_nTMLSRXPgc7YakPW
601251087-113;Mont Blanc;Parque da Mooca ;Praça Padre Mário Fontana, 27;81;183;4;1;3;1995;Maravilhoso apartamento no Parque da Mooca ;R$ 2.490,00;R$ 9.104,00;R$ 1.650.000,00;R$ 9.016,39;https://drive.google.com/drive/folders/1h2T-hctRQRqoregBA2BJTlCD1Fy4fstH
601331008-55;Panamby;Jardim Ampliação;Marie Nader Calfat, 270;92 B;51;1;1;1;2014;Ótimo apartamento no Jardim Ampliação;R$ 852,00;R$ 2.316,00;R$ 399.000,00;R$ 7.823,53;https://drive.google.com/drive/folders/198XdwYjWu5LuafsM4ivq9u0Encukw9Sc
601251165-126;Marques de Olinda;Ipiranga;Marquês Olinda, 528;43;83;2;0;3;1982;Maravilhoso apartamento no Ipiranga;R$ 1.243,00;R$ 3.000,00;R$ 615.000,00;R$ 7.409,64;https://drive.google.com/drive/folders/1IHNBogoXu6V7ERuAFQjqF-TfudxAiv9Y
601331025-27;Merlot Jardim Sul;Vila Andrade ;Nelson Gama de Oliveira;825;84;2;2;1;2013;Maravilhoso apartamento na Vila Andrade ;R$ 1.362,00;R$ 3.265,00;R$ 720.000,00;R$ 8.571,43;https://drive.google.com/drive/folders/1Kp5q5prI-cbn7obuBWiaQaSltTW202LY?usp=sharing
601181054-99;Lafayatte ;Centro - Santo André/SP;Dona Elisa Fláquer, 50;71;267;4;2;2;1989;Maravilhoso apartamento no centro de Santo André/SP;R$ 2.693,00;R$ 4.597,00;R$ 990.000,00;R$ 3.707,87;https://drive.google.com/drive/folders/1CmjHTaPpp7IWwpt5CyRtyg43Bs321z2z
601251342-8;Itauna;Vila Uberabinha;Tuim, 307;31;152;3;1;2;1995;Maravilhoso apartamento em Moema ;R$ 2.530,00;R$ 0,00;R$ 1.995.000,00;R$ 13.125,00;https://drive.google.com/drive/folders/1IMxSVk_F_ed-GUSHykOGqFplsXlqW6zz
601181054-85;Casa/sobrado;Vila Camilópolis - Santo André/SP;Menandro, 26;x;232;3;3;4;1986;Maravilhosa casa/sobrado na Vila Camilópolis - Santo André/SP;R$ 0,00;R$ 2.320,00;R$ 698.000,00;R$ 3.008,62;https://drive.google.com/drive/folders/1lRPO85V7dvW-x0fs5y-NDAHlTylEjuYs
601251016-105;Villaggio Panamby;Panamby;Itapaiuna, 1800;12;152;3;1;3;2001;Maravilhoso apartamento no Panamby;R$ 3.200,00;R$ 9.000,00;R$ 1.990.000,00;R$ 13.092,11;https://drive.google.com/drive/folders/1vrOIMOiH5Ml3_jprOloIhObUwck06Afb
601251165-184;Luxury Home Design;Vila Nova Conceição;Marcos Lopes, 272;63A;78;1;0;1;2014;Maravilhoso apartamento na Vila Nova Conceição ;R$ 1.743,00;R$ 5.053,00;R$ 2.350.000,00;R$ 30.128,21;https://drive.google.com/drive/folders/10f6DUdEsOgeCAsS7QO68W4UAq7-urQ65
601251009-60;Vista Laura ;Pinheiros;Amaro Cavalheiro, 333;103;130;2;2;2;2025;Maravilhoso apartamento em Pinheiros;R$ 1.408,00;R$ 1.000,00;R$ 3.190.000,00;R$ 24.538,46;https://drive.google.com/drive/folders/1dmGC3rlduWnJiajUM3i-tdXjw3u46SqL
601251018-126;Lorraine;Morro dos Ingleses ;Franceses, 479;61;220;3;2;1;1979;Maravilhoso apartamento no Morro dos Ingleses ;R$ 2.626,00;R$ 6.818,00;R$ 1.457.000,00;R$ 6.622,73;https://drive.google.com/drive/folders/1biYnOV7RPK3v7nxbAlhjKz6-HLVB_y4x
602011001-163;New York Club;Vila Romana ;Fábia, 610;111;223;4;4;4;2009;Maravilhoso apartamento na Vila Romana ;R$ 2.789,00;R$ 2.095,00;R$ 2.850.000,00;R$ 12.780,27;https://drive.google.com/drive/folders/1vdRckuizV6dpf0TDJYYqekdvUsm08n55
601331069-3;Misti Morumbi;Vila Suzana;Doutor Luiz Migliano, 190;114;65;2;1;1;2017;Maravilhoso apartamento na Vila Suzana;R$ 545,00;R$ 144,00;R$ 653.000,00;R$ 10.046,15;https://drive.google.com/drive/folders/1mVxkyGQ1lutDSH9WHpzbz-KN52qoAQCb
601251315-14;Casa;Vila Flórida - Guarulhos ;Porto Amazonas, 358;x;147;3;1;2;2014;Casa maravilhosa na Vila Flórida em Guarulhos ;R$ 0,00;R$ 1.137,00;R$ 599.000,00;R$ 4.074,83;https://drive.google.com/drive/folders/1q0Tzke0j0dgbfLB-HJcteiybow7StgHs
