ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601251165-178;Piazza San Pietro;Mooca;Marina Crespi, 118;51 B;85;3;1;2;2008;Ótimo apartamento na Mooca ;R$ 959,00;R$ 3.619,00;R$ 895.000,00;R$ 10.529,41;https://drive.google.com/drive/folders/1d2hJDbkn9PuMzxdbdXeqXR5zSuvVNyds
601251044-74;Casa;Vila Anhaguera - Itanhaém/SP;Ovidio Pimentel de Lima, 161;x;284;7;2;6;2011;Maravilhosa casa na Vila Anhaguera - Itanhaém/SP;R$ 0,00;R$ 8.067,00;R$ 1.050.000,00;R$ 3.697,18;https://drive.google.com/drive/folders/1LSJQ6WTdSlIuNdaJg8jOlPDzwoDN-lyx
601251009-52;Martinho;Vila Olímpia ;Santa Justina, 244;82;97;2;1;1;1977;Ótimo apartamento na Vila Olímpia ;R$ 1.663,00;R$ 3.783,00;R$ 1.150.000,00;R$ 11.855,67;https://drive.google.com/drive/folders/1fG97L-K1A67IXY25JGuA1iPwgmRzRxwv
601181054-76;Collection São Caetano ;Jardim São Caetano - São Caetano do Sul/SP;Justino Paixão, 555;71;122;2;2;3;2015;Maravilhoso apartamento no Jardim São Caetano - São Caetano do Sul/SP ;R$ 1.369,00;R$ 8.913,00;R$ 1.590.000,00;R$ 13.032,79;https://drive.google.com/drive/folders/1U92X24RowiY1hW-tH91Fxcn-49Kh2HXK
601251047-1027; Arkadio Ez By Ott Brooklin;Brooklin;Santo Arcádio, 92;231;180;3;3;3;2025;Maravilhoso apartamento no Brooklin ;R$ 0,00;R$ 0,00;R$ 3.300.000,00;R$ 18.333,33;https://drive.google.com/drive/folders/19VUOmmWogMXKvohBo_p1XbG8Bi1M8uDc
601251165-12;Conjunto comercial/sala;Vila Olímpia ;Santa Justina, 352;cj 62;55;0;0;1;1997;Perfeito conjunto comercial/sala na Vila Olímpia ;R$ 865,00;R$ 4.313,00;R$ 299.000,00;R$ 5.436,36;https://saas.piperz.io/session-photo/26e2e9a0bc59794fbb67860e212194
601251165-11;Conjunto comercial/sala;Vila Olímpia ;Santa Justina, 352;cj 115 ;55;0;0;1;1997;Perfeito conjunto comercial/sala na Vila Olímpia ;R$ 865,00;R$ 4.313,00;R$ 299.000,00;R$ 5.436,36;https://saas.piperz.io/session-photo/e795010b6afefc785f222f68ed0549
601251054-94;Andrea;Itaim Bibi ;Urussuí, 333;92;88;2;1;1;1984;Maravilhoso apartamento no Itaim Bibi ;R$ 1.427,00;R$ 4.029,00;R$ 1.150.000,00;R$ 13.068,18;https://drive.google.com/drive/folders/1D5oDGGCUs0Hz0goDp_YtoIhcuX8V2CVc
601251084-288; N.A.U. Vila Mariana By Cyrela;Vila Mariana ;Lins de Vasconcelos, 3399;1505;79;2;2;1;2025;Maravilhoso apartamento na Vila Mariana ;R$ 1.106,00;R$ 140,00;R$ 1.298.000,00;R$ 16.430,38;https://drive.google.com/drive/folders/1HicjW5L0m-c_mlPoxml43qQE1KKK_9Zp
601181054-100; Quality Suites Long Stay Vila Olímpia;Vila Olímpia ;Rua Alvorada, 1009;1205 A;48;2;0;1;2002;Lindo apartamento na Vila Olímpia ;R$ 1.500,00;R$ 4.344,00;R$ 980.000,00;R$ 20.416,67;https://drive.google.com/drive/folders/10_mnDQe85anK3YiJ3P-HQO56SenyFLby
601251165-133;Golden Palace;Vila Monumento ;Dom Mateus, 120;11;140;3;3;3;2008;Maravilhoso apartamento na Vila Monumento ;R$ 2.200,00;R$ 12.000,00;R$ 1.179.000,00;R$ 8.421,43;https://drive.google.com/drive/folders/1fAtXwlUUwRUrId4-SwAqv5GHifCvgIgQ
602011083-8;Blem Home Resort ;Belenzinho;Toledo Barbosa, 326;507;105;2;1;2;2021;Maravilhoso apartamento no Belenzinho;R$ 843,00;R$ 3.990,00;R$ 1.100.000,00;R$ 10.476,19;https://drive.google.com/drive/folders/1QeowLTzMrkYuTo2jb3N5vVcta5dDFqeS
601251039-80;Laplace;Brooklin;La Place, 96;31;130;0;0;0;2;Maravilhoso conjunto comercial no Brooklin;R$ 3.016,00;R$ 15.620,00;R$ 800.000,00;R$ 6.153,85;https://drive.google.com/drive/folders/1CYfJL-CJiwAxUXdcp2rt2BAC-XalibxT
601251039-83;Cyrela For You;Vila Mariana ;Carlos Petit, 215;1415;25;1;0;0;2022;Ótimo estúdio na Vila Mariana ;R$ 440,00;R$ 926,00;R$ 530.000,00;R$ 21.200,00;https://drive.google.com/drive/folders/1-XBEfIpVBJkoGh8zS01aqEdJPSysL29Q
601251039-82;Estoril;Pinheiros;Henrique Monteiro, 167;132;117;3;1;1;1976;Maravilhoso apartamento em Pinheiros ;R$ 2.030,00;R$ 6.074,00;R$ 1.190.000,00;R$ 10.170,94;https://drive.google.com/drive/folders/1csBOPLhBy2ts3XI9fq9KHR2LvGAiYDbR
601181054-101; Tangram Conceição by Tarjab;Vila Guarani (Zona Sul) ;Ibirajá, 244;406 T1;84;3;1;1;2022;Ótimo apartamento na Vila Guarani (Zona Sul) ;R$ 750,00;R$ 1.946,00;R$ 1.168.000,00;R$ 13.904,76;https://drive.google.com/drive/folders/169HdkjrLNQgfIuJFSZbROBJ5shXohuz4
601181054-102;Panorama ;Morro dos Ingleses ;Ingleses, 222;92;220;3;1;2;1969;Maravilhoso apartamento no Morro dos Ingleses;R$ 3.385,00;R$ 7.530,00;R$ 1.490.000,00;R$ 6.772,73;https://drive.google.com/drive/folders/1NFQkuQteaDIjPpf762Q8sX1o_ZolzLTI
601251165-149;Casa/sobrado;Vila Mariana ;Jorge Tibiriçá, 374;x;437;4;3;7;1995;Maravilhoso sobrado na Vila Mariana ;R$ 0,00;R$ 22.871,00;R$ 3.200.000,00;R$ 7.322,65;https://drive.google.com/drive/folders/1AgXaYNwUsOfrpQ2kekzuCj5lfaHiupeR
601251315-77;Helbor Carpe Diem Bosque Maia;Jardim Santa Mena - Guarulhos/SP;Terceiro Sargento Francisco Luiz Roberto Boening, 80;173;116;3;3;2;2015;Maravilhoso apartamento no Jardim Santa Mena - Guarulhos/SP;R$ 856,00;R$ 4.108,00;R$ 1.250.000,00;R$ 10.775,86;https://drive.google.com/drive/folders/1YS6cQpMNNlT1AjGgftvNtrDbdVRgcZHd
601251084-253;Casa ;Cambuci ;Lacerda Franco, 1433;casa ;150;4;0;2;1959;Maravilhosa casa no Cambuci ;R$ 0,00;R$ 4.342,00;R$ 910.000,00;R$ 6.066,67;https://drive.google.com/drive/folders/1umeUfBsnZoVBToFJZBC5ismInYWhDXQF
601251342-4;  Maison Tourraine Loire;Moema ;Arapanés, 725;124 B;80;2;0;2;1977;Maravilhoso apartamento em Moema;R$ 1.400,00;R$ 2.480,00;R$ 990.000,00;R$ 12.375,00;https://drive.google.com/drive/folders/1PxJKFuipNJh1QNOq4ufQJHP7Hdo0vbp-
601251154-4;Loose in Vila Nova;Vila Nova Conceição;Coronel Artur de Paula Ferreira, 95;83;36;1;0;1;2026;Ótimo apartamento na Vila Nova Conceição ;R$ 1.111,00;R$ 3.100,00;R$ 595.000,00;R$ 16.527,78;https://drive.google.com/drive/folders/1TViPfIcw33DzZqHL62BKdf4jziVLC1ZH
601251084-286; N.A.U. Vila Mariana By Cyrela;Vila Mariana ;Lins de Vasconcelos, 3399;401;66;2;1;1;2025;Maravilhoso apartamento na Vila Mariana ;R$ 1.106,00;R$ 140,00;R$ 1.098.000,00;R$ 16.636,36;https://drive.google.com/drive/folders/18AaXamFpOPS-C9Mybet-LudgNpK6d9re
601251084-287;N.A.U. Vila Mariana By Cyrela;Vila Mariana ;Lins de Vasconcelos, 3399;1502;79;2;2;1;2025;Maravilhoso apartamento na Vila Mariana ;R$ 1.106,00;R$ 140,00;R$ 1.298.000,00;R$ 16.430,38;https://drive.google.com/drive/folders/1DtzyV1N-piTTGiB1iY5-aFllnXXoJ8kH
601181054-89;Villa Vernazza;Fundação - São Caetano do Sul/SP;Rio Branco, 283;93;67;2;1;2;2012;Ótimo apartamento no bairro Fundação em São Caetano do Sul/SP;R$ 550,00;R$ 1.427,00;R$ 606.000,00;R$ 9.044,78;https://drive.google.com/drive/folders/1RKsXa6mFxjaqdbSH4N7i9Cqs33T0vtFB
601251043-95;Casa;Jardim Prudência;Manuel José Gomes, 163;x;219;4;1;2;1982;Maravilhosa casa no Jardim Prudência;R$ 0,00;R$ 14.530,00;R$ 1.700.000,00;R$ 7.762,56;https://drive.google.com/drive/folders/1LqJYFqtmB3bQkkvVKM1jLScnVyMuWjHX
601251054-89;Castel Firenze;Campo Belo ;República do Iraque, 1124;101;174;4;3;3;1989;Ótimo apartamento no Campo Belo ;R$ 3.900,00;R$ 17.519,00;R$ 1.980.000,00;R$ 11.379,31;https://drive.google.com/drive/folders/1_wq9GpnxVCH49os64hiJebs5xt5YidJD
601181102-5;Casa/sobrado;Sumaré;Apinajés, 1607;x;190;4;2;4;1979;Maravilhoso sobrado no Sumaré ;R$ 0,00;R$ 8.540,00;R$ 1.698.000,00;R$ 8.936,84;https://drive.google.com/drive/folders/18D3QbJz7MaHFjOXZIsbg085KUZJjEB39
601251039-84;Lua de Setim;Vila Mascote;Damaceno Vieira, 800;164;90;3;1;2;1990;Ótimo apartamento na Vila Mascote ;R$ 1.430,00;R$ 0,00;R$ 830.000,00;R$ 9.222,22;https://drive.google.com/drive/folders/1nZncvI9AQFKeUAG6xjXGwXaCDa27kKXi
601181054-98;Villa da Vinci ;Vila Guarani (Zona Sul);Leonardo da Vinci, 1520 ;106;72;2;1;1;2016;Maravilhoso apartamento na Vila Guarani (Zona Sul) ;R$ 1.150,00;R$ 265,00;R$ 410.000,00;R$ 5.694,44;https://drive.google.com/drive/folders/1ML2zB7yy1ld-1h5GTBZVpyvRVWcN7H8Y
601181054-97;Gran Village Club ;Vila Vermelha ;Padre Arlindo Vieira, 214;125 B ;69;2;1;1;2012;Maravilhoso apartamento na Vila Vermelha ;R$ 1.001,00;R$ 0,00;R$ 729.000,00;R$ 10.565,22;https://drive.google.com/drive/folders/1gL-nhZvtOwaa_H7-j0vyHyG4yQntFOcn?usp=sharing
601251165-168;Living Alto do Ipiranga ;Alto do Ipiranga ;Salvador Simões, 596;103;72;2;0;1;2024;Ótimo apartamento no Alto do Ipiranga ;R$ 919,00;R$ 266,00;R$ 879.000,00;R$ 12.208,33;https://drive.google.com/drive/folders/1Gd9qGX84pldwzX8za1hxgaNfsCViqd6s
601181054-87;Casa ;Rudge Ramos - São Bernardo do Campo/SP ;Conde Siciliano, 360;x;291;3;2;6;1970;Maravilhosa casa no Rudge Ramos - São Bernardo do Campo/SP;R$ 0,00;R$ 4.273,08;R$ 900.000,00;R$ 3.092,78;https://drive.google.com/drive/folders/1sMcLtwgU6pGRhDlcJSrcNF1GrpRZoVpa
601251165-148;Sara;Bela Vista ;Santo Amarao, 455;11;150;2;0;0;1970;Maravilhoso apartamento na Bela Vista ;R$ 2.088,00;R$ 943,00;R$ 599.000,00;R$ 3.993,33;https://drive.google.com/drive/folders/1Pg4Z33xQMzwk3ccc1dnMqCIjAB5JxPeY
601251169-7;Urban Loft;Vila Suzana ;Samia Haddad, 111;7 C ;84;1;1;2;2005;Maravilhoso apartamento na Vila Suzana ;R$ 1.500,00;R$ 4.138,00;R$ 498.000,00;R$ 5.928,57;https://drive.google.com/drive/folders/1eYXkyh3rePzzqT6rpYOM_u8moRZPsw2b
601251039-85;Art Bela Vista ;Centro - Osasco/São Paulo ;Alice Manholer Piteri, 362;194;78;2;2;2;;Maravilhoso apartamento no Centro de Osasco/SP;R$ 1.100,00;R$ 2.800,00;R$ 1.270.000,00;R$ 16.282,05;https://drive.google.com/drive/folders/14W7oTunznNleBNqOqEWYznOjqOnGO180
601251018-120;Hila ;Aclimação ;José do Patrocínio, 577;26;93;2;1;0;1956;Maravilhoso apartamento na Aclimação ;R$ 1.391,00;R$ 380,00;R$ 800.000,00;R$ 8.602,15;https://drive.google.com/drive/folders/1dJDzQl_JZFp0VHDJMYkGtYKEhrc534RB
601181047-45;Kinghenry Vi E Queen Margareth;Cerqueira César;Haddock Lobo, 1454;131;123;3;1;1;1975;Maravilhoso apartamento na Cerqueira César ;R$ 2.104,00;R$ 2.500,00;R$ 1.650.000,00;R$ 13.414,63;https://drive.google.com/drive/folders/1rzu3iCb901Bx9oV5aBj8DD23Rh8aXgl8
601181047-47;Maguari ;Jardim Paulista ;Itu, 1209;11;104;2;1;1;1973;Maravilhoso apartamento no Jardim Paulista ;R$ 2.190,00;R$ 4.875,00;R$ 1.490.000,00;R$ 14.326,92;https://drive.google.com/drive/folders/10PyAGK1TIqeJlwb9L2wt0RTzg6hK2BJt
601331008-41;You Now Brooklin;Brooklin;Margaridas, 281;806;37;1;0;1;2017;Lindo apartamento no Brooklin ;R$ 683,00;R$ 301,00;R$ 450.000,00;R$ 12.162,16;https://drive.google.com/drive/folders/1ZZy_qw9FbioTCkPIN_JkW9hafWpmxgzP
601331025-17; Upstairs Brooklin;Vila Cordeiro ;Roque Petrella, 187;12;97;2;2;2;2010;Ótimo apartamento na Vila Cordeiro ;R$ 1.781,00;R$ 1,00;R$ 975.000,00;R$ 10.051,55;https://drive.google.com/drive/folders/1jSgrWcKRly81ImtmZSouSATr1-8GHMwG
601251044-16;Casa/sobrado;Agenor de Campos ;São Lourenço, 341;x;151;3;1;4;2005;Maravilhosa casa/sobrado em Agenor de Campos;x;R$ 218,96;R$ 290.000,00;R$ 1.920,53;https://drive.google.com/drive/folders/1mfiCuxKLTWHvnWyOElfm9czTSCH7PjoW
601251339-7;Casa ;Vila Moraes ;Giovanni Di Balduccio, 23;x;170;3;1;1;1959;Maravilhosa casa na Vila Moraes ;R$ 0,00;R$ 539,00;R$ 650.000,00;R$ 3.823,53;https://drive.google.com/drive/folders/1J91g2H-oV-UfqsnNuLzKT5VD11cR4d1h
601251256-19;Virgílio;Pinheiros ;Doutor Virgílio de Carvalho Pinto, 382;176;47;2;0;1;2023;Maravilhoso apartamento em Pinheiros ;R$ 1.271,00;R$ 3.245,00;R$ 860.000,00;R$ 18.297,87;https://drive.google.com/drive/folders/12TbniBoQY6g8BE2hwVU9p33rStrR0bJv
601251043-92;Casa ;Jardim Prudência ;Manuel José Gomes, 166 ;x;440;4;3;4;1976;Maravilhosa casa no Jardim Prudência ;R$ 0,00;R$ 11.761,00;R$ 1.600.000,00;R$ 3.636,36;https://drive.google.com/drive/folders/1tpGOJEuJA-RcOPZ-ZjFJSZbq35DdBcTp
601251038-16;Pirineus;Santa Cecília ;Marechal Deodoro, 60;86;42;1;0;0;1950;Lindo apartamento na Santa Cecília ;R$ 400,00;R$ 54,04;R$ 260.000,00;R$ 6.190,48;https://drive.google.com/drive/folders/16VzO6_Ptd1G9CPLtx77Hbhgy4HHtvMYx
601251038-15;Pirineus;Santa Cecília;Marechal Deodoro, 60;26;42;1;0;0;1950;Lindo apartamento na Santa Cecília ;R$ 400,00;R$ 54,04;R$ 260.000,00;R$ 6.190,48;https://drive.google.com/drive/folders/1wiC5BgtvvcG3qloxsqF0S40KL_DW6xVo
601181054-80;Lugano;Boa Vista - São Caetano do Sul/SP;Aparecida, 200;9;86;2;1;1;2023;Ótimo apartamento no Boa Vista - São Caetano do Sul/SP;R$ 589,00;R$ 79,00;R$ 598.000,00;R$ 6.953,49;https://drive.google.com/drive/folders/1xLUj2PI0FsjfZtzFqbHUUmTKa_LvYrZl
601181054-79;Ateliê 365;Brooklin Paulista;Nova York, 365;43 B ;151;3;3;2;2025;Maravilhoso apartamento no Brooklin Paulista ;R$ 3.157,00;R$ 5.000,00;R$ 2.900.000,00;R$ 19.205,30;https://drive.google.com/drive/folders/1x-RVIhldbLWtmrROCWqt1mmtbPKvPu-V
601251256-8;Casa Comercial ;Limão ;Victório Primon, 263;x;210;3;0;10;1978;Maravilhosa casa comercial no Limão ;R$ 0,00;R$ 17.580,00;R$ 1.260.000,00;R$ 6.000,00;https://drive.google.com/drive/folders/16hm88eRHldEm5XUgcIxMomG7roAXiQ4g
601251256-2;The Frame Vila Nova Conceição;Vila Nova Conceição;Hélio Pellegrino, 568;111;352;4;4;4;2023;Maravilhoso apartamento na Vila Nova Conceição ;R$ 7.826,00;R$ 39.547,00;R$ 11.200.000,00;R$ 31.818,18;https://drive.google.com/drive/folders/1quoqQBI8qT0YFlGCX9ndgt2zQgmXbIQ_
601181047-67;La Vida Butantã ;Butantã ;Miragaia, 174;105;38;1;0;0;2023;Ótimo apartamento no Butantã ;R$ 531,00;R$ 941,00;R$ 510.000,00;R$ 531,00;https://drive.google.com/drive/folders/1RgYKTJm5gtXtISdTJVyiN8-uZ_h0R3Fq
601251087-101;" Mirai Atibaia Patriani
";Alvinópolis - Atibaia/SP ;Dona Gertrudes, 181;73;80;2;1;2;2024;Ótimo apartamento em Alvinópolis - Atibaia/SP ;R$ 709,00;R$ 2.576,00;R$ 750.000,00;R$ 9.375,00;https://drive.google.com/drive/folders/1_u0Bk05VWiWrmqEUBntvDtn14eYDpisj
601251009-54;Iguaçu;Butantã ;Caxingui, 283;131;227;3;1;2;1992;Maravilhoso apartamento no Butantã ;R$ 2.474,00;R$ 5.372,00;R$ 1.790.000,00;R$ 7.885,46;https://drive.google.com/drive/folders/1VF9YDgl3-DYGDQQdhcw-QWswY1l1OZHC
601251299-14;Casa ;Jardim Ana Maria - Santo André/SP;Paulino de Lima, 371;x;200;4;1;2;1995;Maravilhosa casa no Jardim Ana Maria - Santo André/SP ;R$ 0,00;R$ 371,00;R$ 590.000,00;R$ 2.950,00;https://drive.google.com/drive/folders/1U66jgwZn6gSRYmS8hg5coMOthtBvkZsG
601251009-59;Casa ;Alto de Pinheiros;Pascoal Vita, 795;x;584;5;5;5;2000;Casa espetacular no Alto de Pinheiros ;R$ 0,00;R$ 50.017,00;R$ 10.590.000,00;R$ 18.133,56;https://drive.google.com/drive/folders/1R6-CRpn5IBP1KIavwsD11vkMVNayT6Yf
601251256-3;União ;Aclimação ;José do Patrocínio, 648;61;82;2;0;2;1976;Maravilhoso apartamento na Aclimação ;R$ 1.706,00;R$ 0,00;R$ 550.000,00;R$ 6.707,32;https://drive.google.com/drive/folders/1t60whiPnvufPzJr-2NIs6sgyuWmKS4JS
601251256-10;Paineiras Imperiais ;Real Parque ;Nabih Assad Abdalla, 412;71;232;3;3;3;1984;Maravilhoso apartamento no Real Parque ;R$ 6.600,00;R$ 17.306,00;R$ 1.580.000,00;R$ 6.810,34;https://drive.google.com/drive/folders/1tgFO7mVNeKskTXgoj7ZIiyHMAV62_vf3
601251165-134;Florear ;Mirandópolis ;Azaléas, 70 ;122;141;3;3;2;2024;Maravilhoso apartamento em Mirandópolis ;R$ 1.600,00;R$ 2.000,00;R$ 1.990.000,00;R$ 14.113,48;https://drive.google.com/drive/folders/1TxBttNiXDB5hJRDtmhQ81wHeK6GK_fUf
601251047-1036;Irlanda ;Vila Nova Conceição;Doutor Eduardo de Souza Aranha, 122;112;76;2;2;1;1974;Maravilhoso apartamento na Vila Nova Conceição ;R$ 1.850,00;R$ 3.500,00;R$ 950.000,00;R$ 12.500,00;https://drive.google.com/drive/folders/1gPNZU5ZXWhytQmUI85c1WLUSyaCwNuYV
601251339-6;Bandeirantes ;Vila Clementino ;Gandavo, 188;93;106;3;1;1;1974;Maravilhoso apartamento na Vila Clementino ;R$ 1.699,00;R$ 1.545,10;R$ 950.000,00;R$ 8.962,26;https://drive.google.com/drive/folders/19md9QempkkEwh9o3CGK86y3p9BciSyT0
601251303-6;Metrocasa 9 de Julho;Bela Vista ;Santo Antonio, 1080;1503;67;1;0;0;2025;Maravilhoso duplex na Bela Vista ;R$ 540,00;R$ 0,00;R$ 420.000,00;R$ 6.268,66;https://drive.google.com/drive/folders/1rJPj6hlGX-Wf2nqKksZ56ELU9dkN1KMQ
601251043-99;Terraços do Arizona ;Cidade Monções ;Arizona, 1064;191;205;4;4;3;2005;Maravilhoso apartamento na Cidade Monções ;R$ 4.547,00;R$ 23.624,00;R$ 2.600.000,00;R$ 12.682,93;https://drive.google.com/drive/folders/1rgqn9532ox3rqOWibaStPtBZyQzQ_EtC
601251086-375;BK;Santo Amaro;Coronel Luís Barroso, 392;205;32;1;0;0;2016;Maravilhoso estúdio em Santo Amaro;R$ 640,00;R$ 980,00;R$ 430.000,00;R$ 13.437,50;https://drive.google.com/drive/folders/1o2B20zBinV382ny9DzWoWYpdqOUy1DZB
601331069-2;Ravena ;Sumarezinho;Heitor Penteado, 250;83;125;3;1;1;1973;Maravilhoso apartamento no Sumarezinho ;R$ 1.206,00;R$ 2.442,00;R$ 1.300.000,00;R$ 10.400,00;https://drive.google.com/drive/folders/1f24Vpd2P8hR6DcEBMuNZCivsiELQd0ld
